,Exercise,URL,Picture_A,Picture_B,Muscle,Video,Main Muscle Group,Detailed Muscle Group,Type,Mechanics,Equipment,Difficulty
1187,Stability Ball Single-Leg Hip Rotation,https://www.jefit.com/exercises/649/Stability-Ball-Single-Leg-Hip-Rotation,https://www.jefit.com/images/exercises/1080_664/2596.jpg,https://www.jefit.com/images/exercises/1080_664/2597.jpg,https://www.jefit.com/images/exercises/b1.jpg,http://player.vimeo.com/external/160297417.sd.mp4?s=e222185304676c2a750111c4f320a163a28f5748&profile_id=165&oauth2_token_id=435967617,Back,,Stretching,Isolation,Exercise Ball,Intermediate
1188,Stability Ball Standing Hamstring Stretch,https://www.jefit.com/exercises/585/Stability-Ball-Standing-Hamstring-Stretch,https://www.jefit.com/images/exercises/1080_664/2340.jpg,https://www.jefit.com/images/exercises/1080_664/2341.jpg,https://www.jefit.com/images/exercises/b8.jpg,http://player.vimeo.com/external/160297128.sd.mp4?s=f75dd84934f4940bfa3cf27a13d305c99fb66316&profile_id=164&oauth2_token_id=435967617,Upper Legs,,Stretching,Compound,Exercise Ball,Beginner
1189,Stability Ball Straight-Leg Crunch,https://www.jefit.com/exercises/684/Stability-Ball-Straight-Leg-Crunch,https://www.jefit.com/images/exercises/1080_664/2736.jpg,https://www.jefit.com/images/exercises/1080_664/2737.jpg,https://www.jefit.com/images/exercises/b0.jpg,http://player.vimeo.com/external/160304914.sd.mp4?s=db3830d6bb46c28ddee0295f734d602f02389007&profile_id=165&oauth2_token_id=435967617,Abs,,Strength,Isolation,Exercise Ball,Intermediate
1190,Stability Ball Tricep Extension,https://www.jefit.com/exercises/781/Stability-Ball-Tricep-Extension,https://www.jefit.com/images/exercises/1080_664/3124.jpg,https://www.jefit.com/images/exercises/1080_664/3125.jpg,https://www.jefit.com/images/exercises/b7.jpg,http://player.vimeo.com/external/160305161.hd.mp4?s=41098261e760f9173197db3e13c951186bd7291e&profile_id=113&oauth2_token_id=435967617,Triceps,,Strength,Isolation,Dumbbell,Intermediate
1191,Stability Ball Tricep Stretch,https://www.jefit.com/exercises/780/Stability-Ball-Tricep-Stretch,https://www.jefit.com/images/exercises/1080_664/3120.jpg,https://www.jefit.com/images/exercises/1080_664/3121.jpg,https://www.jefit.com/images/exercises/b7.jpg,http://player.vimeo.com/external/160305163.sd.mp4?s=65a2a9d0bcdbd8db5e402d25cd3a76da6049d2f5&profile_id=165&oauth2_token_id=435967617,Triceps,,Stretching,Isolation,Exercise Ball,Beginner
1192,Stability Ball Walking Lunge,https://www.jefit.com/exercises/741/Stability-Ball-Walking-Lunge,https://www.jefit.com/images/exercises/1080_664/2964.jpg,https://www.jefit.com/images/exercises/1080_664/2965.jpg,https://www.jefit.com/images/exercises/b0.jpg,http://player.vimeo.com/external/160305009.sd.mp4?s=3e0930c831c0650675ea7df9a0844347fa77fd07&profile_id=164&oauth2_token_id=435967617,Abs,,Strength,Compound,Exercise Ball,Intermediate
1193,Stability Ball Wall Circles,https://www.jefit.com/exercises/602/Stability-Ball-Wall-Circles,https://www.jefit.com/images/exercises/1080_664/2408.jpg,https://www.jefit.com/images/exercises/1080_664/2409.jpg,https://www.jefit.com/images/exercises/b1.jpg,http://player.vimeo.com/external/160297114.hd.mp4?s=cfb69c39f9835d09a88e30dce87fe735445cb3a6&profile_id=119&oauth2_token_id=435967617,Back,,Stretching,Compound,Exercise Ball,Beginner
1194,Stability Ball Wall Squat,https://www.jefit.com/exercises/1205/Stability-Ball-Wall-Squat,https://www.jefit.com/images/exercises/1080_664/4820.jpg,https://www.jefit.com/images/exercises/1080_664/4821.jpg,https://www.jefit.com/images/exercises/b8.jpg,http://player.vimeo.com/external/160307234.hd.mp4?s=02538f1be97884ad40402f08762e91018381ad40&profile_id=113&oauth2_token_id=435967617,Upper Legs,,Strength,Compound,Exercise Ball,Beginner
1195,Stability Ball Weight Plate Pullover,https://www.jefit.com/exercises/188/Stability-Ball-Weight-Plate-Pullover,https://www.jefit.com/images/exercises/1080_664/752.jpg,https://www.jefit.com/images/exercises/1080_664/753.jpg,https://www.jefit.com/images/exercises/b7.jpg,,Triceps,Upper Chest,Strength,Isolation,Exercise Ball,Intermediate
1196,Stability Ball Weight Plate Side Bend,https://www.jefit.com/exercises/251/Stability-Ball-Weight-Plate-Side-Bend,https://www.jefit.com/images/exercises/1080_664/1004.jpg,https://www.jefit.com/images/exercises/1080_664/1005.jpg,https://www.jefit.com/images/exercises/b0.jpg,http://player.vimeo.com/external/160280255.hd.mp4?s=f008057e7962814b5a51bb0caa4094ce68d3a356&profile_id=113&oauth2_token_id=435967617,Abs,Obliques,Strength,Isolation,Exercise Ball,Intermediate
1197,Stability Ball Weighted Hyperextension,https://www.jefit.com/exercises/363/Stability-Ball-Weighted-Hyperextension,https://www.jefit.com/images/exercises/1080_664/1452.jpg,https://www.jefit.com/images/exercises/1080_664/1453.jpg,https://www.jefit.com/images/exercises/b1.jpg,http://player.vimeo.com/external/160281012.hd.mp4?s=72c61a2fbb773eed3263a7fe9e9ce351de5a2aad&profile_id=113&oauth2_token_id=435967617,Back,Traps,Strength,Compound,Exercise Ball,Intermediate
1198,Stability Ball Weighted Sit-Up,https://www.jefit.com/exercises/1004/Stability-Ball-Weighted-Sit-Up,https://www.jefit.com/images/exercises/1080_664/4016.jpg,https://www.jefit.com/images/exercises/1080_664/4017.jpg,https://www.jefit.com/images/exercises/b0.jpg,http://player.vimeo.com/external/160306949.sd.mp4?s=9dcd089daffbeb136266605ac3dceb03fb3912ee&profile_id=165&oauth2_token_id=435967617,Abs,,Strength,Isolation,Exercise Ball,Intermediate
1199,Stability Ball Weighted Wall Squat,https://www.jefit.com/exercises/1211/Stability-Ball-Weighted-Wall-Squat,https://www.jefit.com/images/exercises/1080_664/4844.jpg,https://www.jefit.com/images/exercises/1080_664/4845.jpg,https://www.jefit.com/images/exercises/b8.jpg,http://player.vimeo.com/external/160307247.sd.mp4?s=2132b8f73d1f31af059174d271ffbaa72ca03969&profile_id=165&oauth2_token_id=435967617,Upper Legs,,Strength,Compound,Exercise Ball,Intermediate
1200,Stability Ball Wood Chop,https://www.jefit.com/exercises/685/Stability-Ball-Wood-Chop,https://www.jefit.com/images/exercises/1080_664/2740.jpg,https://www.jefit.com/images/exercises/1080_664/2741.jpg,https://www.jefit.com/images/exercises/b0.jpg,http://player.vimeo.com/external/160304899.hd.mp4?s=5ef5c1725a1113bf4d872bc67cd5344dcbc794dd&profile_id=113&oauth2_token_id=435967617,Abs,,Strength,Isolation,Exercise Ball,Beginner
1201,Staff Pose,https://www.jefit.com/exercises/529/Staff-Pose,https://www.jefit.com/images/exercises/1080_664/2116.jpg,https://www.jefit.com/images/exercises/1080_664/2117.jpg,https://www.jefit.com/images/exercises/b0.jpg,http://player.vimeo.com/external/160296960.sd.mp4?s=c8216246c8d7e4d297d3adf2b9a03188784a0431&profile_id=164&oauth2_token_id=435967617,Abs,,Stretching,Compound,Body Only,Beginner
1202,Standing Bicep Stretch,https://www.jefit.com/exercises/806/Standing-Bicep-Stretch,https://www.jefit.com/images/exercises/1080_664/3224.jpg,https://www.jefit.com/images/exercises/1080_664/3225.jpg,https://www.jefit.com/images/exercises/b2.jpg,http://player.vimeo.com/external/160305199.hd.mp4?s=c6d709d3e013d308c0ee70ecf535f5c945e19e05&profile_id=119&oauth2_token_id=435967617,Biceps,,Stretching,Isolation,Body Only,Beginner
1203,Standing Calf Raise,https://www.jefit.com/exercises/145/Standing-Calf-Raise,https://www.jefit.com/images/exercises/1080_664/580.jpg,https://www.jefit.com/images/exercises/1080_664/581.jpg,https://www.jefit.com/images/exercises/b9.jpg,,Lower Legs,Calves,Strength,Isolation,Machine - Strength,Beginner
1204,Standing Calf Stretch,https://www.jefit.com/exercises/549/Standing-Calf-Stretch,https://www.jefit.com/images/exercises/1080_664/2196.jpg,https://www.jefit.com/images/exercises/1080_664/2197.jpg,https://www.jefit.com/images/exercises/b9.jpg,http://player.vimeo.com/external/160297072.hd.mp4?s=3d8d74f1b480fccfd80ee3968756c835342cb5c3&profile_id=119&oauth2_token_id=435967617,Lower Legs,,Stretching,Compound,Body Only,Beginner
1205,Standing Calf Stretch,https://www.jefit.com/exercises/964/Standing-Calf-Stretch,https://www.jefit.com/images/exercises/1080_664/3856.jpg,https://www.jefit.com/images/exercises/1080_664/3857.jpg,https://www.jefit.com/images/exercises/b9.jpg,http://player.vimeo.com/external/160306847.sd.mp4?s=f8b0d87924ae40700f86f8eae02b16fc0a12f366&profile_id=165&oauth2_token_id=435967617,Lower Legs,,Stretching,N/A,Bench,Beginner
1206,Standing Glute Kickback,https://www.jefit.com/exercises/1101/Standing-Glute-Kickback,https://www.jefit.com/images/exercises/1080_664/4404.jpg,https://www.jefit.com/images/exercises/1080_664/4405.jpg,https://www.jefit.com/images/exercises/b5.jpg,http://player.vimeo.com/external/160307063.hd.mp4?s=e167ebb2a4ce0929721ad39a7f30e64019be88b1&profile_id=113&oauth2_token_id=435967617,Glutes,,Strength,Isolation,Body Only,Beginner
1207,Standing Half Moon,https://www.jefit.com/exercises/530/Standing-Half-Moon,https://www.jefit.com/images/exercises/1080_664/2120.jpg,https://www.jefit.com/images/exercises/1080_664/2121.jpg,https://www.jefit.com/images/exercises/b0.jpg,http://player.vimeo.com/external/160296957.hd.mp4?s=13aa453ef75373f046baae25aedc429a9f0884bd&profile_id=113&oauth2_token_id=435967617,Abs,,Stretching,Compound,Body Only,Beginner
1208,Standing Hamstring and Calf Stretch,https://www.jefit.com/exercises/949/Standing-Hamstring-and-Calf-Stretch,https://www.jefit.com/images/exercises/1080_664/3796.jpg,https://www.jefit.com/images/exercises/1080_664/3797.jpg,https://www.jefit.com/images/exercises/b8.jpg,http://player.vimeo.com/external/160306742.sd.mp4?s=ca35712f71e13765e54c22545bb636a5366ab4da&profile_id=165&oauth2_token_id=435967617,Upper Legs,,Stretching,N/A,Bands,Beginner
1209,Standing Hip Abduction,https://www.jefit.com/exercises/747/Standing-Hip-Abduction,https://www.jefit.com/images/exercises/1080_664/2988.jpg,https://www.jefit.com/images/exercises/1080_664/2989.jpg,https://www.jefit.com/images/exercises/b5.jpg,http://player.vimeo.com/external/160305078.sd.mp4?s=0bfd2a15c8f3ef561ed1eb9471ea862d7581b9cc&profile_id=165&oauth2_token_id=435967617,Glutes,,Strength,Compound,Body Only,Beginner
1210,Standing Hip Adduction,https://www.jefit.com/exercises/746/Standing-Hip-Adduction,https://www.jefit.com/images/exercises/1080_664/2984.jpg,https://www.jefit.com/images/exercises/1080_664/2985.jpg,https://www.jefit.com/images/exercises/b5.jpg,http://player.vimeo.com/external/160305074.sd.mp4?s=1eaab8be4f9e6db432b0d15fe574e969d214d446&profile_id=164&oauth2_token_id=435967617,Glutes,,Strength,Compound,Body Only,Beginner
1211,Standing Hip Flexor,https://www.jefit.com/exercises/950/Standing-Hip-Flexor,https://www.jefit.com/images/exercises/1080_664/3800.jpg,https://www.jefit.com/images/exercises/1080_664/3801.jpg,https://www.jefit.com/images/exercises/b8.jpg,http://player.vimeo.com/external/160306746.sd.mp4?s=2c9057569ca1e68f61dea7532e5453369d86ea8e&profile_id=165&oauth2_token_id=435967617,Upper Legs,,Stretching,Isolation,Body Only,Beginner
1212,Standing Lateral Stretch,https://www.jefit.com/exercises/798/Standing-Lateral-Stretch,https://www.jefit.com/images/exercises/1080_664/3192.jpg,https://www.jefit.com/images/exercises/1080_664/3193.jpg,https://www.jefit.com/images/exercises/b0.jpg,http://player.vimeo.com/external/160305188.sd.mp4?s=f5963a8661ad0b6f1a49333cd9b9008487386764&profile_id=165&oauth2_token_id=435967617,Abs,,Stretching,Isolation,Body Only,Beginner
1213,Standing Long Jump,https://www.jefit.com/exercises/951/Standing-Long-Jump,https://www.jefit.com/images/exercises/1080_664/3804.jpg,https://www.jefit.com/images/exercises/1080_664/3805.jpg,https://www.jefit.com/images/exercises/b8.jpg,http://player.vimeo.com/external/160306756.sd.mp4?s=9aea16a2ccdf3146820eeeaf85993fa10e1e6543&profile_id=164&oauth2_token_id=435967617,Upper Legs,,Strength,Compound,Body Only,Beginner
1214,Standing Opposition Reach,https://www.jefit.com/exercises/737/Standing-Opposition-Reach,https://www.jefit.com/images/exercises/1080_664/2948.jpg,https://www.jefit.com/images/exercises/1080_664/2949.jpg,https://www.jefit.com/images/exercises/b0.jpg,http://player.vimeo.com/external/160305005.hd.mp4?s=d3d93f3633ae79a9aa149482b4dfd95ebc027c4b&profile_id=113&oauth2_token_id=435967617,Abs,,Stretching,Compound,Body Only,Intermediate
1215,Standing Pelvic Tilt,https://www.jefit.com/exercises/832/Standing-Pelvic-Tilt,https://www.jefit.com/images/exercises/1080_664/3328.jpg,https://www.jefit.com/images/exercises/1080_664/3329.jpg,https://www.jefit.com/images/exercises/b1.jpg,http://player.vimeo.com/external/160305236.sd.mp4?s=0df1e526cca4f0e1bf92abbd291350a1bf9233f1&profile_id=164&oauth2_token_id=435967617,Back,,Stretching,Isolation,Body Only,Beginner
1216,Standing Quadricep Stretch,https://www.jefit.com/exercises/948/Standing-Quadricep-Stretch,https://www.jefit.com/images/exercises/1080_664/3792.jpg,https://www.jefit.com/images/exercises/1080_664/3793.jpg,https://www.jefit.com/images/exercises/b8.jpg,http://player.vimeo.com/external/160306743.hd.mp4?s=d05b7fc0acc5c1039a365f13b0bf9a806ca88e12&profile_id=113&oauth2_token_id=435967617,Upper Legs,,Stretching,N/A,Bench,Beginner
1217,Standing Toe Touch,https://www.jefit.com/exercises/952/Standing-Toe-Touch,https://www.jefit.com/images/exercises/1080_664/3808.jpg,https://www.jefit.com/images/exercises/1080_664/3809.jpg,https://www.jefit.com/images/exercises/b8.jpg,http://player.vimeo.com/external/160306797.hd.mp4?s=0b894e7742d2c1671ae38410177351ed4c6921ac&profile_id=119&oauth2_token_id=435967617,Upper Legs,,Stretching,N/A,Body Only,Beginner
1218,Star Jump,https://www.jefit.com/exercises/953/Star-Jump,https://www.jefit.com/images/exercises/1080_664/3812.jpg,https://www.jefit.com/images/exercises/1080_664/3813.jpg,https://www.jefit.com/images/exercises/b8.jpg,http://player.vimeo.com/external/160306801.hd.mp4?s=43f67870d7a22859daf7aab080a93b517c4f210f&profile_id=119&oauth2_token_id=435967617,Upper Legs,,Strength,Compound,Body Only,Beginner
1219,Stationary Bike,https://www.jefit.com/exercises/318/Stationary-Bike,https://www.jefit.com/images/exercises/1080_664/1272.jpg,https://www.jefit.com/images/exercises/1080_664/1272.jpg,https://www.jefit.com/images/exercises/b10.jpg,,Cardio,,Cardio,Isolation,Machine - Cardio,Beginner
1220,Step Machine,https://www.jefit.com/exercises/319/Step-Machine,https://www.jefit.com/images/exercises/1080_664/1276.jpg,https://www.jefit.com/images/exercises/1080_664/1276.jpg,https://www.jefit.com/images/exercises/b10.jpg,http://player.vimeo.com/external/160280922.hd.mp4?s=bb2044343614cca912b4ba4215893f4b072efd64&profile_id=113&oauth2_token_id=435967617,Cardio,,Cardio,Isolation,Machine - Cardio,Beginner
1221,Stork Stance with Stability Ball,https://www.jefit.com/exercises/663/Stork-Stance-with-Stability-Ball,https://www.jefit.com/images/exercises/1080_664/2652.jpg,https://www.jefit.com/images/exercises/1080_664/2653.jpg,https://www.jefit.com/images/exercises/b0.jpg,http://player.vimeo.com/external/160297478.sd.mp4?s=b41c90a2066c81157d929639fcfcec4b2083714a&profile_id=165&oauth2_token_id=435967617,Abs,,Strength,Isolation,Exercise Ball,Expert
1222,Straddle Stretch,https://www.jefit.com/exercises/956/Straddle-Stretch,https://www.jefit.com/images/exercises/1080_664/3824.jpg,https://www.jefit.com/images/exercises/1080_664/3825.jpg,https://www.jefit.com/images/exercises/b8.jpg,http://player.vimeo.com/external/160306816.hd.mp4?s=add10f02f59d8748ad8bd4df448583409f6db00b&profile_id=119&oauth2_token_id=435967617,Upper Legs,,Stretching,N/A,Body Only,Beginner
1223,Straight Leg Sit-Up,https://www.jefit.com/exercises/672/Straight-Leg-Sit-Up,https://www.jefit.com/images/exercises/1080_664/2688.jpg,https://www.jefit.com/images/exercises/1080_664/2689.jpg,https://www.jefit.com/images/exercises/b0.jpg,http://player.vimeo.com/external/160297516.sd.mp4?s=79689785f3f5098de5856f8177f7555ef2f2d9bb&profile_id=165&oauth2_token_id=435967617,Abs,,Strength,Isolation,Body Only,Beginner
1224,Sun Salutation,https://www.jefit.com/exercises/531/Sun-Salutation,https://www.jefit.com/images/exercises/1080_664/2124.jpg,https://www.jefit.com/images/exercises/1080_664/2125.jpg,https://www.jefit.com/images/exercises/b0.jpg,http://player.vimeo.com/external/160296936.sd.mp4?s=e5a7ea6ad22baa6611852d624bfb9e786c91714b&profile_id=164&oauth2_token_id=435967617,Abs,,Stretching,Compound,Body Only,Beginner
1225,Superman,https://www.jefit.com/exercises/94/Superman,https://www.jefit.com/images/exercises/1080_664/376.jpg,https://www.jefit.com/images/exercises/1080_664/377.jpg,https://www.jefit.com/images/exercises/b1.jpg,http://player.vimeo.com/external/160273640.hd.mp4?s=353caeae235fa61d26e6227af43246b1fe006136&profile_id=113&oauth2_token_id=435967617,Back,Lower Back,Stretching,Compound,Body Only,Beginner
1226,Supine Cross-Leg Side Stretch,https://www.jefit.com/exercises/573/Supine-Cross-Leg-Side-Stretch,https://www.jefit.com/images/exercises/1080_664/2292.jpg,https://www.jefit.com/images/exercises/1080_664/2293.jpg,https://www.jefit.com/images/exercises/b0.jpg,http://player.vimeo.com/external/160297181.hd.mp4?s=f01a12f22532a7af1826fbfcc89fedb8f1a7112c&profile_id=119&oauth2_token_id=435967617,Abs,,Stretching,Compound,Body Only,Beginner
1227,Supine Hamstring Stretch,https://www.jefit.com/exercises/552/Supine-Hamstring-Stretch,https://www.jefit.com/images/exercises/1080_664/2208.jpg,https://www.jefit.com/images/exercises/1080_664/2209.jpg,https://www.jefit.com/images/exercises/b8.jpg,http://player.vimeo.com/external/160297027.sd.mp4?s=16da661456b6c745d55274fa385fc4bc95b6c1d6&profile_id=164&oauth2_token_id=435967617,Upper Legs,,Stretching,Compound,Body Only,Beginner
1228,Supine Heel Touches,https://www.jefit.com/exercises/987/Supine-Heel-Touches,https://www.jefit.com/images/exercises/1080_664/3948.jpg,https://www.jefit.com/images/exercises/1080_664/3949.jpg,https://www.jefit.com/images/exercises/b0.jpg,http://player.vimeo.com/external/160306882.sd.mp4?s=870605e61e5f2aa94eb6b55fd6387e0000151b7f&profile_id=165&oauth2_token_id=435967617,Abs,,Strength,Compound,Body Only,Beginner
1229,Supine Knee Raise,https://www.jefit.com/exercises/986/Supine-Knee-Raise,https://www.jefit.com/images/exercises/1080_664/3944.jpg,https://www.jefit.com/images/exercises/1080_664/3945.jpg,https://www.jefit.com/images/exercises/b0.jpg,http://player.vimeo.com/external/160306948.sd.mp4?s=c162a13d9962bfa9c7f0248df4c9498e77991c9a&profile_id=164&oauth2_token_id=435967617,Abs,,Strength,Isolation,Body Only,Beginner
1230,Supine Knee to Chest,https://www.jefit.com/exercises/392/Supine-Knee-to-Chest,https://www.jefit.com/images/exercises/1080_664/1568.jpg,https://www.jefit.com/images/exercises/1080_664/1569.jpg,https://www.jefit.com/images/exercises/b5.jpg,http://player.vimeo.com/external/160281145.sd.mp4?s=268506859358397f78b5fe4067698a4c9a42b26c&profile_id=164&oauth2_token_id=435967617,Glutes,Hamstrings,Stretching,Compound,Body Only,Beginner
1231,Supine Knee to Chest to Leg Raise,https://www.jefit.com/exercises/665/Supine-Knee-to-Chest-to-Leg-Raise,https://www.jefit.com/images/exercises/1080_664/2660.jpg,https://www.jefit.com/images/exercises/1080_664/2661.jpg,https://www.jefit.com/images/exercises/b0.jpg,http://player.vimeo.com/external/160297487.sd.mp4?s=52a9912f97c5df3fb56dd80a31ce266d7fefc783&profile_id=164&oauth2_token_id=435967617,Abs,,Strength,Isolation,Body Only,Intermediate
1232,Supine Leg Slide,https://www.jefit.com/exercises/588/Supine-Leg-Slide,https://www.jefit.com/images/exercises/1080_664/2352.jpg,https://www.jefit.com/images/exercises/1080_664/2353.jpg,https://www.jefit.com/images/exercises/b0.jpg,http://player.vimeo.com/external/160297112.sd.mp4?s=9fbd2e457c4089dbf2305e9c6ea09ed1dea549ea&profile_id=164&oauth2_token_id=435967617,Abs,,Strength,Compound,Body Only,Intermediate
1233,Supine One-Knee to Chest,https://www.jefit.com/exercises/664/Supine-One-Knee-to-Chest,https://www.jefit.com/images/exercises/1080_664/2656.jpg,https://www.jefit.com/images/exercises/1080_664/2657.jpg,https://www.jefit.com/images/exercises/b0.jpg,http://player.vimeo.com/external/160297475.sd.mp4?s=a786d5bbdb002a629f6d8e5a45ecf35ddf4c5b3f&profile_id=165&oauth2_token_id=435967617,Abs,,Strength,Isolation,Body Only,Intermediate
1234,Supine Quad Stretch,https://www.jefit.com/exercises/915/Supine-Quad-Stretch,https://www.jefit.com/images/exercises/1080_664/3660.jpg,https://www.jefit.com/images/exercises/1080_664/3661.jpg,https://www.jefit.com/images/exercises/b8.jpg,http://player.vimeo.com/external/160429596.hd.mp4?s=f0f36393775c8e702543a270c64fbfc0b233d696&profile_id=113&oauth2_token_id=435967617,Upper Legs,,Stretching,Isolation,Bench,Beginner
1235,Swimming,https://www.jefit.com/exercises/320/Swimming,https://www.jefit.com/images/exercises/1080_664/1280.jpg,https://www.jefit.com/images/exercises/1080_664/1280.jpg,https://www.jefit.com/images/exercises/b10.jpg,,Cardio,,Cardio,Isolation,Body Only,Beginner
1236,T Bar Prone Row,https://www.jefit.com/exercises/355/T-Bar-Prone-Row,https://www.jefit.com/images/exercises/1080_664/1420.jpg,https://www.jefit.com/images/exercises/1080_664/1421.jpg,https://www.jefit.com/images/exercises/b1.jpg,,Back,Traps,Strength,Compound,Machine - Strength,Intermediate
1237,T Bar Row,https://www.jefit.com/exercises/52/T-Bar-Row,https://www.jefit.com/images/exercises/1080_664/208.jpg,https://www.jefit.com/images/exercises/1080_664/209.jpg,https://www.jefit.com/images/exercises/b1.jpg,,Back,Traps,Strength,Compound,Barbell,Intermediate
1238,Table Pose,https://www.jefit.com/exercises/534/Table-Pose,https://www.jefit.com/images/exercises/1080_664/2136.jpg,https://www.jefit.com/images/exercises/1080_664/2137.jpg,https://www.jefit.com/images/exercises/b0.jpg,http://player.vimeo.com/external/160296924.sd.mp4?s=782b3ecd227115a7f5e6f68a96b2e5c7bc1b5e63&profile_id=164&oauth2_token_id=435967617,Abs,,Stretching,Compound,Body Only,Intermediate
1239,Three Bench Dip,https://www.jefit.com/exercises/1190/Three-Bench-Dip,https://www.jefit.com/images/exercises/1080_664/4760.jpg,https://www.jefit.com/images/exercises/1080_664/4761.jpg,https://www.jefit.com/images/exercises/b7.jpg,http://player.vimeo.com/external/160307218.hd.mp4?s=ae6eb6cbbcffd102d968dd1514131a7bd0478dfa&profile_id=119&oauth2_token_id=435967617,Triceps,,Strength,Compound,Bench,Intermediate
1240,Toe Touchers,https://www.jefit.com/exercises/76/Toe-Touchers,https://www.jefit.com/images/exercises/1080_664/304.jpg,https://www.jefit.com/images/exercises/1080_664/305.jpg,https://www.jefit.com/images/exercises/b0.jpg,http://player.vimeo.com/external/160273599.sd.mp4?s=60dcc1704acc7808c2a0132368740b7f5c72a006&profile_id=164&oauth2_token_id=435967617,Abs,Shoulders,Strength,Isolation,Body Only,Beginner
1241,Towel Standing Tricep Extension,https://www.jefit.com/exercises/243/Towel-Standing-Tricep-Extension,https://www.jefit.com/images/exercises/1080_664/972.jpg,https://www.jefit.com/images/exercises/1080_664/973.jpg,https://www.jefit.com/images/exercises/b7.jpg,http://player.vimeo.com/external/160280282.sd.mp4?s=5997b3783b76e7d0433cd8ab70600114c564dfa2&profile_id=164&oauth2_token_id=435967617,Triceps,,Strength,Isolation,Others,Beginner
1242,Treadmill Running,https://www.jefit.com/exercises/321/Treadmill-Running,https://www.jefit.com/images/exercises/1080_664/1284.jpg,https://www.jefit.com/images/exercises/1080_664/1284.jpg,https://www.jefit.com/images/exercises/b10.jpg,,Cardio,,Cardio,Isolation,Machine - Cardio,Beginner
1243,Triangle Pose,https://www.jefit.com/exercises/535/Triangle-Pose,https://www.jefit.com/images/exercises/1080_664/2140.jpg,https://www.jefit.com/images/exercises/1080_664/2141.jpg,https://www.jefit.com/images/exercises/b0.jpg,http://player.vimeo.com/external/160296939.sd.mp4?s=bfb3d892c86e824c911d9c12ec008f1f0109509c&profile_id=164&oauth2_token_id=435967617,Abs,,Stretching,Compound,Body Only,Intermediate
1244,Tricep Push-Up,https://www.jefit.com/exercises/240/Tricep-Push-Up,https://www.jefit.com/images/exercises/1080_664/960.jpg,https://www.jefit.com/images/exercises/1080_664/961.jpg,https://www.jefit.com/images/exercises/b7.jpg,http://player.vimeo.com/external/160280260.hd.mp4?s=6f0f11aea2b5d1293026943c8046222ebf3fdb2c&profile_id=113&oauth2_token_id=435967617,Triceps,Lower Chest,Strength,Isolation,Body Only,Intermediate
1245,Tricep Side Stretch,https://www.jefit.com/exercises/891/Tricep-Side-Stretch,https://www.jefit.com/images/exercises/1080_664/3564.jpg,https://www.jefit.com/images/exercises/1080_664/3565.jpg,https://www.jefit.com/images/exercises/b7.jpg,http://player.vimeo.com/external/160305319.hd.mp4?s=44dc955161182f5dae12a1c29e2d0be603e18200&profile_id=113&oauth2_token_id=435967617,Triceps,,Stretching,N/A,Body Only,Beginner
1246,Tricep Stretch,https://www.jefit.com/exercises/586/Tricep-Stretch,https://www.jefit.com/images/exercises/1080_664/2344.jpg,https://www.jefit.com/images/exercises/1080_664/2345.jpg,https://www.jefit.com/images/exercises/b7.jpg,http://player.vimeo.com/external/160297300.sd.mp4?s=b396795c630e6ceb2789ddc6cad8c0b3119719f9&profile_id=164&oauth2_token_id=435967617,Triceps,,Stretching,Compound,Body Only,Beginner
1247,Triceps Pushdown V Bar,https://www.jefit.com/exercises/149/Triceps-Pushdown-V-Bar,https://www.jefit.com/images/exercises/1080_664/596.jpg,https://www.jefit.com/images/exercises/1080_664/597.jpg,https://www.jefit.com/images/exercises/b7.jpg,http://player.vimeo.com/external/160273731.sd.mp4?s=a532883e6d09150136bd000e02ca23b942e20747&profile_id=164&oauth2_token_id=435967617,Triceps,Upper Chest,Strength,Isolation,Machine - Strength,Beginner
1248,Trunk Rotation,https://www.jefit.com/exercises/346/Trunk-Rotation,https://www.jefit.com/images/exercises/1080_664/1384.jpg,https://www.jefit.com/images/exercises/1080_664/1385.jpg,https://www.jefit.com/images/exercises/b0.jpg,http://player.vimeo.com/external/160280979.sd.mp4?s=73c0a28e7d9ca5118de759bd9d32c26e4540a2e4&profile_id=165&oauth2_token_id=435967617,Abs,Obliques,Stretching,N/A,Exercise Ball,Beginner
1249,Tuck Crunch,https://www.jefit.com/exercises/71/Tuck-Crunch,https://www.jefit.com/images/exercises/1080_664/284.jpg,https://www.jefit.com/images/exercises/1080_664/285.jpg,https://www.jefit.com/images/exercises/b0.jpg,http://player.vimeo.com/external/160273628.hd.mp4?s=fa16b61298d8afacb2cdb18b95c186e1f02fb908&profile_id=119&oauth2_token_id=435967617,Abs,Lower Abs,Strength,Isolation,Body Only,Beginner
1250,Turtle Pose,https://www.jefit.com/exercises/536/Turtle-Pose,https://www.jefit.com/images/exercises/1080_664/2144.jpg,https://www.jefit.com/images/exercises/1080_664/2145.jpg,https://www.jefit.com/images/exercises/b0.jpg,http://player.vimeo.com/external/160297010.sd.mp4?s=4f8b10a9ad0a6d3865644d833b1fcd4f197dd0c1&profile_id=165&oauth2_token_id=435967617,Abs,,Stretching,Compound,Body Only,Beginner
